symbol,calendarYear,GPM,A (SGA),B (RD),C (PPE),D (DEPR),E (CAPEX),F (NR),currentRatio,G (ROA),H (LD/GP),debtToEquity,Net Issuance,Interest - income,Buy =1
ALL,2003,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.06247689464,1.621441774,1.218084126,0.02016519807,0,0.2466812546,-17,0,0
ALL,2002,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.2107583774,3.593474427,1.2054014,0.009657145777,0,0.2271476087,-49.55555556,0,0
ALL,2001,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1606217617,3.433506045,1.213679968,0.01060682391,0,0.2148173994,-141.2222222,0,0
ALL,2000,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1356852103,1.719583899,1.228349003,0.02109571788,0,0.1783278895,-198.1111111,0,0
ALL,1999,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.07794117647,1.44375,1.095128175,0.02772144029,0,0.1316788145,-241.4444444,0,0
ALL,1998,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.05707346691,0.9356405586,1.187237515,0.03756371806,0,0.07848027842,-165.4444444,0,0
ALL,1997,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.04830917874,0.952979066,1.187128877,0.03837217924,0,0.09590006406,-271.6,0,0
ALL,1996,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.06072289157,1.29686747,1.191368622,0.02784935846,0,0.1030330062,-67.2,0,0
ALL,1995,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.05567226891,0,1.19071046,0,0,4.522791798,0,0,0
ALL,1994,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.2727272727,0,1.190941539,0,0,6.283289817,0,0,0
ALL,1993,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.05837173579,0,1.192194255,0,0,4.762912621,0,0,0
ALL,1992,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,0.1452784504,0,1.190929449,0,0,1.531369141,0,0,0
AMZN,2020,0.2441046044,0.7578098472,0.4535229202,1.598758489,0.2679435484,-1.881768318,1.150532089,1.05022748,0.06641137004,0.8954690153,0.9034837908,0,0.07192453819,1
AMZN,2019,0.2664817733,0.3221366081,0.4806565535,0.0009725900955,0.2914760414,-1.455039696,1.796341042,1.097048239,0.05144551783,0.3132140086,0.3772800516,0,0.1100336978,1
AMZN,2018,0.2563646747,0.303999732,0.482999464,1.035056278,0.2569509581,-1.332969324,1.655614018,1.098112325,0.0619312872,0.393524722,0.5395072218,0,0.1140809919,1
AMZN,2017,0.2287283685,0.3378069464,0.5560061942,1.201140526,0.2821325861,-3.941641939,4.340257171,1.039977195,0.02309801234,0.6081901531,0.8929589664,0,0.2065270336,1
AMZN,2016,0.2213667483,0.3210643457,0.5343321264,0.9671461316,0.2696076803,-2.841417124,3.5170814,1.044846631,0.02842857485,0.2555891439,0.3989629246,0,0.1156235069,1
